Sample,sampleID,Tag,latDD,lonDD,Region,Subregion,Site,Resistance
1,OF_001,1552,26.055383,-80.09855,ECA,Middle,MiddleECA,Low
2,OF_002,1557,25.94809,-80.10921,ECA,Middle,MiddleECA,Low
3,OF_003,1655,26.145277,-80.097768,ECA,North,NorthECA,High
4,OF_004,1656,26.145245,-80.098035,ECA,North,NorthECA,High
5,OF_005,1688,25.70565,-80.125914,ECA,South,SouthECA,Medium
6,OF_006,1703,26.145272,-80.097372,ECA,North,NorthECA,Medium
7,OF_007,1724,25.802067,-80.10515,ECA,Middle,MiddleECA,Medium
8,OF_008,2126,25.791431,-80.100542,ECA,Middle,MiddleECA,Medium
9,OF_009,1741,26.145236,-80.0974,ECA,North,NorthECA,Low
10,OF_010,1742,26.14527,-80.097427,ECA,North,NorthECA,High
11,OF_011,1743,26.145271,-80.09744,ECA,North,NorthECA,High
12,OF_012,1745,26.145301,-80.097452,ECA,North,NorthECA,High
13,OF_013,1748,26.145273,-80.097507,ECA,North,NorthECA,Medium
14,OF_014,1749,26.145257,-80.097555,ECA,North,NorthECA,Medium
15,OF_015,1752,26.145213,-80.097483,ECA,North,NorthECA,Low
16,OF_016,1753,26.14523,-80.09752,ECA,North,NorthECA,Low
17,OF_017,1777,25.706424,-80.12679,ECA,South,SouthECA,Low
18,OF_018,1778,26.145294,-80.097573,ECA,North,NorthECA,Medium
19,OF_019,1796,25.914417,-80.107883,ECA,Middle,MiddleECA,Low
20,OF_020,1801,25.7028,-80.126805,ECA,South,SouthECA,Low
21,OF_021,1810,25.70576,-80.121592,ECA,South,SouthECA,Low
22,OF_022,1813,25.98165,-80.108233,ECA,Middle,MiddleECA,Low
23,OF_023,1814,25.706943,-80.130009,ECA,South,SouthECA,Medium
24,OF_024,1819,25.666561,-80.125049,ECA,South,SouthECA,High
25,OF_025,1822,25.947883,-80.109134,ECA,Middle,MiddleECA,Low
26,OF_026,1825,25.799439,-80.100964,ECA,Middle,MiddleECA,Medium
27,OF_027,1923,25.812996,-80.101225,ECA,Middle,MiddleECA,Low
28,OF_028,1924,25.812286,-80.104402,ECA,Middle,MiddleECA,Low
29,OF_029,2026,25.708941,-80.128771,ECA,South,SouthECA,High
30,OF_030,2027,25.708312,-80.1288,ECA,South,SouthECA,High
