"sample","region","depth","lat","lon","BO22_calcite","BO22_cloudmean","BO22_damean","BO22_parmean","BO22_ph","BO22_carbonphytomean_bdmean","BO22_carbonphytomean_ss","BO22_chlomean_bdmean","BO22_chlomean_ss","BO22_curvelmean_bdmean","BO22_curvelmean_ss","BO22_dissoxmean_bdmean","BO22_dissoxmean_ss","BO22_ironmean_bdmean","BO22_ironmean_ss","BO22_lightbotmean_bdmean","BO22_nitratemean_bdmean","BO22_nitratemean_ss","BO22_phosphatemean_bdmean","BO22_phosphatemean_ss","BO22_ppmean_bdmean","BO22_ppmean_ss","BO22_salinitymean_bdmean","BO22_salinitymean_ss","BO22_salinityrange_bdmean","BO22_silicatemean_bdmean","BO22_silicatemean_ss","BO22_tempmax_bdmean","BO22_tempmax_ss","BO22_tempmean_bdmean","BO22_tempmean_ss","BO22_tempmin_bdmean","BO22_tempmin_ss","BO22_temprange_bdmean","BO22_temprange_ss"
"P002","Jupiter",22.25,26.897735,-80.01638333,4.4800000614486635e-4,0.574999988079071,0.07199999690055847,40.48899841308594,8.211999893188477,0.950334,0.979613,0.144179,0.143239,0.9149945378303528,0.9890974760055542,204.724467,204.724467,0.001108,0.001136,23.38142,0.174036,0.221883,8.33e-4,2.3e-4,0.004721,0.003456,36.211269,36.014614,36.211269,5.661712,5.808474,30.008484,30.110027,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
"P003","Jupiter",22.25,26.897735,-80.01638333,4.4800000614486635e-4,0.574999988079071,0.07199999690055847,40.48899841308594,8.211999893188477,0.950334,0.979613,0.144179,0.143239,0.9149945378303528,0.9890974760055542,204.724467,204.724467,0.001108,0.001136,23.38142,0.174036,0.221883,8.33e-4,2.3e-4,0.004721,0.003456,36.211269,36.014614,36.211269,5.661712,5.808474,30.008484,30.110027,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
"P004","Jupiter",22.25,26.897735,-80.01638333,4.4800000614486635e-4,0.574999988079071,0.07199999690055847,40.48899841308594,8.211999893188477,0.950334,0.979613,0.144179,0.143239,0.9149945378303528,0.9890974760055542,204.724467,204.724467,0.001108,0.001136,23.38142,0.174036,0.221883,8.33e-4,2.3e-4,0.004721,0.003456,36.211269,36.014614,36.211269,5.661712,5.808474,30.008484,30.110027,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
"P006","Jupiter",23.47,26.897735,-80.01638333,4.4800000614486635e-4,0.574999988079071,0.07199999690055847,40.48899841308594,8.211999893188477,0.950334,0.979613,0.144179,0.143239,0.9149945378303528,0.9890974760055542,204.724467,204.724467,0.001108,0.001136,23.38142,0.174036,0.221883,8.33e-4,2.3e-4,0.004721,0.003456,36.211269,36.014614,36.211269,5.661712,5.808474,30.008484,30.110027,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
"P008","Jupiter",20.73,26.897735,-80.01638333,4.4800000614486635e-4,0.574999988079071,0.07199999690055847,40.48899841308594,8.211999893188477,0.950334,0.979613,0.144179,0.143239,0.9149945378303528,0.9890974760055542,204.724467,204.724467,0.001108,0.001136,23.38142,0.174036,0.221883,8.33e-4,2.3e-4,0.004721,0.003456,36.211269,36.014614,36.211269,5.661712,5.808474,30.008484,30.110027,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
"P009","Jupiter",21.03,26.897735,-80.01638333,4.4800000614486635e-4,0.574999988079071,0.07199999690055847,40.48899841308594,8.211999893188477,0.950334,0.979613,0.144179,0.143239,0.9149945378303528,0.9890974760055542,204.724467,204.724467,0.001108,0.001136,23.38142,0.174036,0.221883,8.33e-4,2.3e-4,0.004721,0.003456,36.211269,36.014614,36.211269,5.661712,5.808474,30.008484,30.110027,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
"P010","Jupiter",21.34,26.897735,-80.01638333,4.4800000614486635e-4,0.574999988079071,0.07199999690055847,40.48899841308594,8.211999893188477,0.950334,0.979613,0.144179,0.143239,0.9149945378303528,0.9890974760055542,204.724467,204.724467,0.001108,0.001136,23.38142,0.174036,0.221883,8.33e-4,2.3e-4,0.004721,0.003456,36.211269,36.014614,36.211269,5.661712,5.808474,30.008484,30.110027,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
"P011","Jupiter",21.03,26.897735,-80.01638333,4.4800000614486635e-4,0.574999988079071,0.07199999690055847,40.48899841308594,8.211999893188477,0.950334,0.979613,0.144179,0.143239,0.9149945378303528,0.9890974760055542,204.724467,204.724467,0.001108,0.001136,23.38142,0.174036,0.221883,8.33e-4,2.3e-4,0.004721,0.003456,36.211269,36.014614,36.211269,5.661712,5.808474,30.008484,30.110027,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
"P014","Jupiter",20.73,26.897735,-80.01638333,4.4800000614486635e-4,0.574999988079071,0.07199999690055847,40.48899841308594,8.211999893188477,0.950334,0.979613,0.144179,0.143239,0.9149945378303528,0.9890974760055542,204.724467,204.724467,0.001108,0.001136,23.38142,0.174036,0.221883,8.33e-4,2.3e-4,0.004721,0.003456,36.211269,36.014614,36.211269,5.661712,5.808474,30.008484,30.110027,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
"P015","Jupiter",21.34,26.897735,-80.01638333,4.4800000614486635e-4,0.574999988079071,0.07199999690055847,40.48899841308594,8.211999893188477,0.950334,0.979613,0.144179,0.143239,0.9149945378303528,0.9890974760055542,204.724467,204.724467,0.001108,0.001136,23.38142,0.174036,0.221883,8.33e-4,2.3e-4,0.004721,0.003456,36.211269,36.014614,36.211269,5.661712,5.808474,30.008484,30.110027,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
