sample,region,depth,lat,lon,BO22_calcite,BO22_parmean,BO22_ph,BO22_chlomean_bdmean,BO22_curvelmean_bdmean,BO22_curvelmean_ss,BO22_dissoxmean_bdmean,BO22_dissoxmean_ss,BO22_lightbotmean_bdmean,BO22_nitratemean_bdmean,BO22_nitratemean_ss,BO22_phosphatemean_bdmean,BO22_ppmean_ss,BO22_silicatemean_bdmean,BO22_silicatemean_ss,BO22_tempmax_bdmean,BO22_tempmean_bdmean,BO22_tempmean_ss,BO22_tempmin_bdmean,BO22_tempmin_ss,BO22_temprange_bdmean,BO22_temprange_ss
P002,Jupiter,22.25,26.897735,-80.01638333,4.48E-04,40.48899841,8.211999893,0.144179,0.914994538,0.989097476,204.724467,204.724467,23.38142,0.174036,0.221883,8.33E-04,0.003456,5.661712,5.808474,30.008484,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
P003,Jupiter,22.25,26.897735,-80.01638333,4.48E-04,40.48899841,8.211999893,0.144179,0.914994538,0.989097476,204.724467,204.724467,23.38142,0.174036,0.221883,8.33E-04,0.003456,5.661712,5.808474,30.008484,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
P004,Jupiter,22.25,26.897735,-80.01638333,4.48E-04,40.48899841,8.211999893,0.144179,0.914994538,0.989097476,204.724467,204.724467,23.38142,0.174036,0.221883,8.33E-04,0.003456,5.661712,5.808474,30.008484,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
P006,Jupiter,23.47,26.897735,-80.01638333,4.48E-04,40.48899841,8.211999893,0.144179,0.914994538,0.989097476,204.724467,204.724467,23.38142,0.174036,0.221883,8.33E-04,0.003456,5.661712,5.808474,30.008484,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
P008,Jupiter,20.73,26.897735,-80.01638333,4.48E-04,40.48899841,8.211999893,0.144179,0.914994538,0.989097476,204.724467,204.724467,23.38142,0.174036,0.221883,8.33E-04,0.003456,5.661712,5.808474,30.008484,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
P009,Jupiter,21.03,26.897735,-80.01638333,4.48E-04,40.48899841,8.211999893,0.144179,0.914994538,0.989097476,204.724467,204.724467,23.38142,0.174036,0.221883,8.33E-04,0.003456,5.661712,5.808474,30.008484,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
P010,Jupiter,21.34,26.897735,-80.01638333,4.48E-04,40.48899841,8.211999893,0.144179,0.914994538,0.989097476,204.724467,204.724467,23.38142,0.174036,0.221883,8.33E-04,0.003456,5.661712,5.808474,30.008484,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
P011,Jupiter,21.03,26.897735,-80.01638333,4.48E-04,40.48899841,8.211999893,0.144179,0.914994538,0.989097476,204.724467,204.724467,23.38142,0.174036,0.221883,8.33E-04,0.003456,5.661712,5.808474,30.008484,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
P014,Jupiter,20.73,26.897735,-80.01638333,4.48E-04,40.48899841,8.211999893,0.144179,0.914994538,0.989097476,204.724467,204.724467,23.38142,0.174036,0.221883,8.33E-04,0.003456,5.661712,5.808474,30.008484,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
P015,Jupiter,21.34,26.897735,-80.01638333,4.48E-04,40.48899841,8.211999893,0.144179,0.914994538,0.989097476,204.724467,204.724467,23.38142,0.174036,0.221883,8.33E-04,0.003456,5.661712,5.808474,30.008484,26.915118,26.866964,23.329841,22.886751,26.915118,7.223276
