"sample","Symbiodinium","Breviolum","Cladocopium","Durusdinium"
"P001",0.9845107273678703,0.0057561486132914706,0.009070294784580499,6.628292342578057e-4
"P002",0.9686236229256728,0.0064147259796402175,0.02342769488216427,0.0015339562125226607
"P003",0.9599968624990195,0.01529531727978665,0.022903757157424112,0.0018040630637697075
"P004",0.9663028378646557,0.014129787656281008,0.016669974201230404,0.0028974002778329034
"P005",0.9636497424576895,0.012141280353200883,0.02163355408388521,0.0025754231052244297
"P006",0.9705790297339593,0.012474849094567404,0.014978761457634698,0.001967359713838587
"P007",0.031578947368421054,0.02548476454293629,0.938781163434903,0.004155124653739612
"P008",0.9593185863208746,0.010933129926264938,0.025997965929316042,0.003750317823544368
"P009",0.9772060144970945,0.009405139878991194,0.011471874438387347,0.0019169711855268675
"P010",0.9565881604073838,0.010439210693825588,0.02864417568427753,0.004328453214513049
"P011",0.03901789113056719,0.03578226113437381,0.9160639512752189,0.009135896459840122
"P012",0.9483133503137231,0.009939740324284027,0.03360874697148537,0.008138162390507547
"P013",0.965807872809118,0.01149315199693516,0.020975002394406667,0.0017239727995402739
"P014",0.9609842228171099,0.015948054906874752,0.020162897989405935,0.0029048242866093294
"P015",0.9669304456476469,0.010412328196584756,0.02015826738858809,0.0024989587671803417
"P018",0.012728095309908007,0.012667772583320766,0.970803800331775,0.0038003317749962296
"P019",0.9770499327890889,0.007278449886888955,0.013474968033834956,0.002196649290187207
"P020",0.9842829076620825,0.004798246939700771,0.009709838295299984,0.0012090071029167296
"P021",0.9807661262424759,0.007010908420008764,0.01081617121376352,0.0014067941237517585
"P022",0.9772727272727273,0.009200641512619229,0.011163163670127459,0.0023634675445260403
"P023",0.9715893536121673,0.010007604562737643,0.01590874524714829,0.002494296577946768
"P024",0.9693978282329714,0.00680048261489525,0.022814522320938904,9.871668311944718e-4
"P025",0.9738848920863309,0.008884892086330936,0.014316546762589928,0.0029136690647482014
"P026",0.9705477092662763,0.009429900103341372,0.017481915260075784,0.0025404753703065796
"P027",0.964372050189939,0.012605042016806723,0.019972372510648095,0.0030505352826061933
"P028-1",0.009175632398978086,0.010219135691410888,0.978122413731064,0.0024828181785470117
"P029",0.9670103092783505,0.00808881839809675,0.023076923076923078,0.001823949246629659
"P030",0.9677808907351947,0.011689691817215728,0.017969278330596077,0.002560139116993527
"P031",0.9717738339427451,0.010166770712565772,0.016810844555426738,0.0012485507892624633
"P032",0.9749565853212686,0.007906041495292934,0.015035188739603326,0.002102184443835116
"P033",0.9800410256410257,0.007302564102564102,0.010974358974358974,0.001682051282051282
"P034",0.9570544987746529,0.012020072353833585,0.028941533434473102,0.0019838954370404948
"P035",0.967337807606264,0.009197116579666915,0.020233656475267214,0.003231419338801889
"P036",0.9769458697694587,0.007552215075522151,0.013731300137313001,0.0017706150177061503
"P037",0.9654409731821952,0.009676527508985348,0.023223666021564834,0.0016588332872546309
"P038",0.015923395556511916,0.013663994835655495,0.9675614610791328,0.002851148528699769
"P039",0.9674549000487567,0.009141882008776206,0.022062408581179912,0.001340809361287177
"P040",0.9778733482921964,0.007292445774121167,0.014086262777362253,7.479431563201197e-4
"P042",0.9789713245334547,0.004278561675011379,0.014110150204824761,0.0026399635867091487
"P043",0.9834187667913831,0.006147912511743667,0.009098251223813683,0.0013350694730596166
"P044",0.9740272814214527,0.009160920118789953,0.014169225348567977,0.0026425731111894097
"P045",0.9820525411244783,0.006064326049594893,0.010115394058433588,0.0017677387674932482
"P046-1",0.9777991147748296,0.006604060794829161,0.01292709772604857,0.0026697267042926397
