,sample,Population,a,All,inbreed
1,P002,Pink,0,7.00E-04,0.001230886
2,P003,Pink,1,1.00E-04,4.12E-07
4,P006,Pink,3,2.00E-04,2.50E-07
5,P008,Green,4,8.00E-04,0.011787484
6,P009,Pink,5,1.00E-04,6.67E-08
7,P010,Green,6,9.00E-04,0.004993724
8,P011,Green,7,9.00E-04,2.04E-06
10,P015,Green,9,0.001,2.31E-07
11,P019,Green,10,8.00E-04,0.10093084
12,P020,Green,11,0.001,0.016964625
13,P022,Green,12,7.00E-04,0.004963217
14,P024,Green,13,0.0011,0.029589045
16,P028-2,Green,15,7.00E-04,5.48E-05
17,P029,Green,16,0.0015,0
18,P031,Green,17,8.00E-04,0.005800333
19,P032,Green,18,0.001,2.94E-07
20,P033,Green,19,7.00E-04,0.010075625
21,P034,Green,20,0.001,0.003955333
22,P035,Green,21,0.001,0
23,P038,Green,22,7.00E-04,1.23E-06
24,P040,Green,23,0.0011,0.002625833
25,P043,Green,24,7.00E-04,0.008224273
26,P044,Purple,25,6.00E-04,0.0116842
27,P045,Green,26,7.00E-04,0.005441667
28,P049,Green,27,7.00E-04,0.026977
29,P057,Green,28,7.00E-04,2.43E-06
31,P077-3,Purple,30,5.00E-04,0.0029184
32,P078,Green,31,7.00E-04,0.048038
33,P083,Green,32,7.00E-04,0.027395
34,P084,Purple,33,5.00E-04,0.0069695
35,P085,Purple,34,6.00E-04,0.015242
36,P087,Purple,35,6.00E-04,0.011223297
