beta  ances 
   0.841 1.17
   0.574 0.744
   0.473 0.602
   0.433 0.525
   0.403 0.479
   0.387 0.451
   0.376 0.429
   0.367 0.412
   0.357 0.402
   0.354 0.394
   0.350 0.386
   0.346 0.380
   0.341 0.374
   0.338 0.369
   0.336 0.366
   0.333 0.362
   0.329 0.359
   0.328 0.357
   0.326 0.354
   0.324 0.352
   0.323 0.351
   0.322 0.349
   0.320 0.347
   0.319 0.346
   0.318 0.344
   0.318 0.342
   0.316 0.340
   0.316 0.339
   0.314 0.339
   0.314 0.337
   0.314 0.337
   0.313 0.336
   0.313 0.335
   0.312 0.334
   0.312 0.333
   0.312 0.333
   0.311 0.332
   0.311 0.332
   0.311 0.331
   0.310 0.331
   0.309 0.330
   0.309 0.329
   0.309 0.328
   0.308 0.328
   0.308 0.328
   0.308 0.328
   0.307 0.327
   0.308 0.327
   0.308 0.326
