beta  ances 
0.221 0.355
0.223 0.369
0.222 0.372
0.219 0.375
0.219 0.374
0.219 0.375
0.218 0.372
0.221 0.373
0.221 0.375
0.220 0.375
0.220 0.374
0.220 0.374
0.219 0.375
0.218 0.375
0.217 0.375
0.218 0.375
0.217 0.375
0.217 0.375
0.217 0.375
0.217 0.375
0.217 0.375
0.218 0.374
0.217 0.374
0.217 0.373
0.217 0.373
0.217 0.374
0.216 0.374
0.217 0.373
0.217 0.374
0.217 0.374
0.217 0.374
0.217 0.374
0.216 0.375
0.216 0.375
0.216 0.375
0.216 0.374
0.216 0.374
0.216 0.375
0.216 0.375
0.216 0.375
0.216 0.375
0.217 0.374
0.216 0.374
0.216 0.374
0.216 0.373
0.217 0.373
0.216 0.373
0.216 0.374
0.216 0.374
