Sample_ID	population
P002.trim.un.bt2.bam	jupiter
P003.trim.un.bt2.bam	jupiter
P004.trim.un.bt2.bam	jupiter
P006.trim.un.bt2.bam	jupiter
P008.trim.un.bt2.bam	jupiter
P009.trim.un.bt2.bam	jupiter
P010.trim.un.bt2.bam	jupiter
P011.trim.un.bt2.bam	jupiter
P014.trim.un.bt2.bam	jupiter
P015.trim.un.bt2.bam	jupiter
P019.trim.un.bt2.bam	westpalm
P020.trim.un.bt2.bam	westpalm
P022.trim.un.bt2.bam	westpalm
P024.trim.un.bt2.bam	westpalm
P027.trim.un.bt2.bam	westpalm
P028-2.trim.un.bt2.bam	westpalm
P029.trim.un.bt2.bam	westpalm
P031.trim.un.bt2.bam	boynton
P032.trim.un.bt2.bam	boynton
P033.trim.un.bt2.bam	boynton
P034.trim.un.bt2.bam	boynton
P035.trim.un.bt2.bam	boynton
P038.trim.un.bt2.bam	boynton
P040.trim.un.bt2.bam	boynton
P043.trim.un.bt2.bam	boynton
P044.trim.un.bt2.bam	boynton
P045.trim.un.bt2.bam	boynton
P049.trim.un.bt2.bam	stlucie
P057.trim.un.bt2.bam	stlucie
P073.trim.un.bt2.bam	stlucie
P077-3.trim.un.bt2.bam	pompano
P078.trim.un.bt2.bam	pompano
P083.trim.un.bt2.bam	pompano
P084.trim.un.bt2.bam	pompano
P085.trim.un.bt2.bam	pompano
P087.trim.un.bt2.bam	pompano
