beta  ances 
   0.932 1.27
   0.635 0.786
   0.542 0.629
   0.487 0.550
   0.453 0.503
   0.433 0.472
   0.419 0.448
   0.408 0.431
   0.402 0.418
   0.397 0.407
   0.391 0.397
   0.386 0.390
   0.383 0.383
   0.380 0.378
   0.377 0.374
   0.374 0.371
   0.372 0.368
   0.370 0.364
   0.368 0.361
   0.366 0.359
   0.365 0.356
   0.364 0.354
   0.363 0.352
   0.363 0.350
   0.362 0.347
   0.361 0.346
   0.360 0.345
   0.360 0.343
   0.359 0.342
   0.357 0.340
   0.357 0.339
   0.356 0.337
   0.356 0.336
   0.355 0.335
   0.354 0.335
   0.354 0.334
   0.353 0.333
   0.353 0.333
   0.353 0.332
   0.352 0.331
   0.352 0.330
   0.351 0.329
   0.351 0.329
   0.350 0.328
   0.350 0.328
   0.350 0.327
   0.349 0.327
   0.349 0.326
   0.349 0.326
