tube_id,species,collection_date,collection_time,county,region,site,site_lat,site_long,bag_number,sample_id,collection_depth_ft,collection_depth_m,color_morph_field,color_morph_photo
P001,Porites astreoides,1/14/2021,10:22,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,1,14-I-21-1-001,72,21.95,brown,
P002,Porites astreoides,1/14/2021,10:26,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,4,14-I-21-1-002,73,22.25,brown,
P003,Porites astreoides,1/14/2021,10:29,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,25,14-I-21-1-003,73,22.25,brown,
P004,Porites astreoides,1/14/2021,10:32,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,36,14-I-21-1-004,73,22.25,yellow,
P005,Porites astreoides,1/14/2021,10:35,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,37,14-I-21-1-005,73,22.25,brown,
P006,Porites astreoides,1/14/2021,10:37,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,38,14-I-21-1-006,77,23.47,brown,
P007,Porites astreoides,1/14/2021,10:42,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,39,14-I-21-1-007,73,22.25,brown,
P008,Porites astreoides,1/14/2021,10:45,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,352,14-I-21-1-008,68,20.73,brown,
P009,Porites astreoides,1/14/2021,10:48,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,353,14-I-21-1-009,69,21.03,brown,
P010,Porites astreoides,1/14/2021,10:50,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,354,14-I-21-1-010,70,21.34,yellow,
P011,Porites astreoides,1/14/2021,10:52,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,367,14-I-21-1-011,69,21.03,brown,
P012,Porites astreoides,1/14/2021,10:54,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,360,14-I-21-1-012,70,21.34,brown,
P013,Porites astreoides,1/14/2021,10:56,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,361,14-I-21-1-013,71,21.64,brown,
P014,Porites astreoides,1/14/2021,10:58,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,362,14-I-21-1-014,68,20.73,brown,
P015,Porites astreoides,1/14/2021,11:00,Palm Beach,Jupiter,SELF-06,26.897735,-80.01638333,52,14-I-21-1-015,70,21.34,brown,
P018,Porites astreoides,1/15/2021,10:51,Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,32,15-I-21-1-003,53,16.15,brown,
P019,Porites astreoides,1/15/2021,10:56,Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,33,15-I-21-1-004,51,15.54,brown,
P020,Porites astreoides,1/15/2021,11:04,Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,34,15-I-21-1-005,50,15.24,brown,
P021,Porites astreoides,1/15/2021,11:07,Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,35,15-I-21-1-006,50,15.24,yellow,
P022,Porites astreoides,1/15/2021,11:09,Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,36,15-I-21-1-007,50,15.24,brown,
P023,Porites astreoides,1/15/2021,11:14,Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,37,15-I-21-1-008,49,14.94,brown,
P024,Porites astreoides,1/15/2021,11:16,Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,38,15-I-21-1-009,47,14.33,brown,
